strategy,strategy_name,clean_energy_kwh,degraded_energy_kwh,controlled_energy_kwh,excess_before_kwh,excess_after_kwh,recovered_energy_kwh,mean_recovery_fraction,mean_comfort_penalty,mean_degradation_penalty,mean_maintenance_cost,mean_robustness_penalty,mean_objective,energy_recovery_ratio_pct,total_energy_saving_vs_degraded_pct
S4,Maintenance-triggered control,1680089.1310422204,1982493.7397624394,1811541.1932307936,302404.6087202189,131452.06218857318,170952.54653164573,0.5222562784855783,0.06174788564684896,0.2590730553292407,0.22,0.014,0.11056229193521806,56.5310652027162,8.623106499803168
S6,Hybrid control-maintenance strategy,1680089.1310422204,1982493.7397624394,1794639.822701819,302404.6087202189,114550.6916595987,187853.91706062018,0.5928763572646037,0.1047900126395499,0.20150126525607612,0.28,0.010000000000000002,0.11332943176551563,62.1200575796847,9.475637339623113
S5,Robust uncertainty-aware control,1680089.1310422204,1982493.7397624394,1868516.2984560688,302404.6087202189,188427.1674138484,113977.4413063705,0.3690246466532299,0.04770409733182565,0.4720886785999498,0.0,0.006,0.13150400340070562,37.69037839361141,5.749195521799144
S3,Predictive degradation-aware control,1680089.1310422204,1982493.7397624394,1841898.2250430335,302404.6087202189,161809.094000813,140595.51471940588,0.45329894575586127,0.09592851657799598,0.46057432058531683,0.0,0.024,0.1345370021473166,46.49251719886424,7.091851636124377
S2,Schedule-aware active control,1680089.1310422204,1982493.7397624394,1883561.800140176,302404.6087202189,203472.6690979556,98931.9396222633,0.3226181776549946,0.04546572253748926,0.5181461106584815,0.0,0.018,0.14227869813420513,32.71508990585323,4.990277529659103
S1,Rule-based passive correction,1680089.1310422204,1982493.7397624394,1930883.6934945912,302404.6087202189,250794.5624523708,51610.0462678481,0.1732330491254126,0.016229546002783275,0.5469320056950637,0.0,0.016,0.15169130249436819,17.066554139588888,2.603289242872092
S0,No corrective control,1680089.1310422204,1982493.7397624394,1982493.7397624394,302404.6087202189,302404.6087202189,0.0,0.0,0.0,0.5757179007316461,0.0,0.020000000000000004,0.16547960170851914,0.0,0.0
